BEG,MOW,16592,1392
MOW,BAK,15312,1390
AER,EVN,12937,1388
MOW,NBC,2881,1385
LED,KLF,3097,1380
MOW,TLV,14980,1379
MOW,BTS,12781,1375
LED,LCA,9452,1370
ROV,EVN,7319,1358
MIL,SOF,9889,1354
MOW,STW,4918,1353
MRV,LED,5940,1350
AER,MRV,11274,1348
MOW,VVO,17641,1332
AER,KRR,9680,1332
MOW,NUX,5704,1324
KRR,SVX,7330,1314
TAS,MOW,13821,1311
VVO,MOW,17335,1304
MOW,ROM,6995,1303
BAK,MOW,20062,1300
MOW,KEJ,9948,1290
BCN,MIL,5956,1234
LCA,TLV,17824,1220
NUX,MOW,4834,1214
BER,LON,8662,1211
MOW,TOF,7857,1205
BCN,LON,5905,1195
KZN,AYT,10559,1185
AER,KZN,12966,1171
MCX,LED,5668,1155
MOW,BRU,8575,1135
SOF,LCA,8827,1130
TJM,KUF,5461,1126
SVX,AYT,9848,1114
MMK,MOW,4723,1112
IST,AYT,3893,1107
MIL,MOW,10891,1101
MOW,VAR,9013,1085
TOF,OVB,7472,1078
FRU,SVX,11084,1076
BAX,MOW,9609,1055
MOW,REN,4477,1046
OSS,SVX,14687,1046
KJA,OVB,5934,1042
KHV,MOW,17495,1040
VOZ,MOW,3426,1035
LON,MIL,7040,1033
KZN,AER,5377,1032
STW,ROV,7505,1016
TOF,MOW,9688,1012
UFA,AYT,9301,1006
LED,CEK,6143,1001
MOW,SKG,7279,995
LED,KRR,4119,991
CGN,BER,7954,989
MIL,LON,6824,980
EGO,MOW,4245,974
MOW,VOZ,3200,962
MOW,BAX,9780,958
VAR,LCA,24202,949
MOW,BUS,5996,945
FRU,OSS,3024,942
MOW,CGN,11284,933
CEK,LED,6117,929
ROM,MOW,15438,926
LCA,LED,17679,913
KUF,AYT,9628,909
AER,KUF,11868,906
LED,BER,6095,902
KRR,EVN,8621,890
MOW,PSA,8698,878
ROV,STW,7224,872
LED,MCX,4556,868
MOW,RTW,3808,867
KJA,LED,8797,862
KUF,AER,4706,850
MOW,EGO,4073,845
KUF,SVX,4978,845
MOW,NJC,7192,844
MOW,HKT,43401,840
REN,MOW,4516,840
PSA,MOW,15687,839
PEZ,MOW,4839,838
RTW,MOW,3835,835
HKT,MOW,12132,835
GDZ,MOW,9968,835
SVX,KRR,5260,833
LED,MRV,4193,817
OVB,TOF,6564,816
SVX,KUF,3960,814
BTS,MOW,30816,814
OVB,FRU,7072,814
KRR,UFA,6629,813
MCX,SGC,13229,811
MOW,HER,6926,804
OVB,KRR,8170,802
LED,TJM,5870,798
TJM,LED,4934,796
LED,PRG,8951,794
MOW,KHV,18613,792
LED,EVN,5623,790
LED,KZN,4642,786
BCN,PAR,6697,775
SVX,MRV,4723,773
ATH,MOW,17646,772
MOW,CSY,2328,771
MOW,MQF,4688,770
NJC,MOW,5519,769
MOW,PAR,10636,767
OVB,KJA,5940,765
MOW,PEZ,4694,765
UFA,LED,5221,765
LED,LON,6795,761
EVN,LED,13722,757
OVB,OSS,12834,751
LED,MIL,6268,749
AYT,MCX,32937,747
MOW,DLM,12882,746
LED,KJA,9505,746
BRU,BTS,34503,741
YKS,MOW,15686,739
MRV,SVX,4810,737
MOW,SKD,16366,735
IST,BEG,15187,732
